"B0","E","Ed","Tp","AIC"
"1.04517877053618e-78","8.54834381941505","10.6544141619886","295.572197306327","-404.849157031499"
"1.334264482455e-91","10","12.6457801666516","294.77370908533","-435.325104303528"
"1.50313167932045e-60","6.50911216030313","12.4859824941387","292.06764370057","-561.996215453403"
"5.45195454992686e-65","6.97164996734373","18.5519033684344","301.167818818559","-415.776344406748"
"9.06204938022433e-92","10","13.126997782731","294.773485156264","-492.122611617458"
"5.64229188526039e-83","9.0543374327093","10.5371695797821","290.370660417437","-538.607238775978"
"4.14286887845313e-81","8.80193255420526","12.563278913397","293.258348644682","-534.828622351976"
"2.17916493454332e-91","10","9.83768754932789","292.829014583655","-415.098189858271"
"6.77344814450436e-78","8.44228228641464","12.3347857285953","293.619977521559","-551.94054618764"
"7.0546101717351e-53","5.61856755386179","10.3938354557494","301.714190831475","-394.192405047732"
"4.29630459614989e-81","8.82263732382937","12.507041798029","292.495025614489","-526.589215678703"
"1.72395541666465e-91","10","9.66614153423047","292.68408974702","-414.839439194015"
"9.59284054180581e-92","10","11.3631005906501","298.669183411247","-358.092305046496"
"1.42519671205479e-91","10","15.0482686106002","292.61770438837","-523.585632142064"
"3.10503290306706e-80","8.71564104174952","10.4208782853331","293.28066309582","-516.584791471568"
"5.99106093150111e-80","8.64589372404077","16.663467681219","297.440934515934","-472.055617976023"
"1.68059397852804e-81","8.85085988731401","13.8146419099151","293.518037204464","-559.839114684642"
"1.13276843168875e-91","10","12.442623274411","292.911955640548","-488.975440412544"
"1.1333955757528e-52","5.59485536436069","13.4419924625355","294.873931177355","-511.247192171762"
"1.0656389770716e-91","10","12.1958105487924","295.19825874893","-446.926306789501"
"6.31559666295777e-76","8.23491705740784","10.3997276446828","293.283552312584","-455.013891697809"
"6.48814050624343e-76","8.21773494525375","12.6314579888805","294.264443119199","-485.181748764939"
"2.38850911126753e-91","10","13.43743068636","289.803235884647","-566.922035794573"
"1.15700366163219e-91","10","14.0122939267117","294.647874751387","-451.733744095994"
"3.32794005769274e-31","3.1692315237227","9.91415584763599","294.400604282434","-527.730349767396"
"9.68904337157691e-92","10","11.7205903596693","293.03409118807","-522.818384096218"
"4.97463312824817e-79","8.581233245934","14.3467373864272","292.982803343043","-533.866648573446"
"2.04018484631547e-50","5.34904370184108","12.4226840497888","300.884246885985","-427.340821284404"
"1.6147576848758e-91","10","11.8701504259227","292.735468774628","-502.836637345271"
"3.1584335273263e-49","5.199695111095","10.412047356446","297.422141251937","-491.060723303392"
"1.34639859566292e-90","10","11.4216699063297","285.603224006613","-435.382501895671"
"1.77730597717088e-91","10","13.9746315088445","291.238090680658","-544.901350461223"
"1.66455247003858e-91","10","12.2614182361823","292.526445890652","-523.087379730212"
"1.41624632460614e-52","5.572690670158","11.8568075438486","301.555848953735","-439.781669946106"
"3.48802033143282e-71","7.68453238608296","13.8399124919142","295.71589869955","-460.509236792994"
"1.26169664387475e-91","10","11.9856654142938","292.92884705424","-484.941077215676"
"1.08948973775742e-91","10","13.8993203970264","294.555098374524","-440.648091258059"
"4.73626360216965e-75","8.13471839447046","15.8098888853856","293.257123340773","-485.421056524563"
"2.8962288135455e-74","8.05839245175705","10.6414133317421","293.172157660349","-449.070290569139"
"1.27434422642138e-50","5.37230350634032","16.8100829384302","309.563227051879","-318.053175793876"
"1.43935690087041e-52","5.57888289682874","17.3465774324774","300.808697008385","-434.275081982083"
"2.25196131406725e-91","10","9.77254390543998","290.843461953152","-383.46314247182"
"1.05152796239341e-91","10","20","292.901471158086","-503.744546604174"
"2.63697131308069e-43","4.53941079618889","13.3788312079686","299.541239721388","-465.414369676892"
"1.89554533774336e-70","7.58578677169708","20","299.645083747418","-421.806392715827"
"3.93430337152706e-61","6.5653703727733","13.3678941598325","292.485534950546","-523.587297105428"
"3.30437050555929e-91","10","10.6685275279652","289.369291967934","-470.074303495342"
"2.00272118496419e-42","4.44096889198838","12.062309243995","301.055280423956","-443.531321680826"
"1.05448361319342e-49","5.28508161650067","11.6513291203729","291.951107502721","-525.850605802006"
"1.21413089926346e-91","10","14.2574733344168","292.487006859988","-541.238628246363"
"7.99816658621042e-92","10","18.202561508925","292.617270554475","-572.146720033743"
"1.43095124812021e-49","5.23157935271226","11.58999717714","297.701134237998","-482.344819903364"
"8.95553805281943e-92","10","15.7875999778612","297.167845737388","-422.294340401528"
"5.49298641519546e-49","5.1787389655914","12.00628191441","299.740761487959","-438.434203513776"
"1.74427684537552e-88","9.6043460054966","11.6878725825191","297.5586122564","-448.003979487547"
"2.16984667687568e-87","9.51890426603082","12.1232306941785","294.00931575557","-494.040830615093"
"3.82012331367097e-89","9.7291556993454","4.93377113125954","290.368492401107","-376.600245613066"
"3.02013408883314e-58","6.21216922647609","14.8744429891372","297.124408228866","-493.443960129579"
"1.76071685585931e-50","5.34177333520814","11.3072467710653","297.923062017448","-484.2782604142"
"2.77836263778374e-48","5.09610365377888","11.7085916377748","298.154154168504","-483.597307870816"
"1.91408642637877e-91","10","8.30383206179058","291.924349867652","-433.549958780043"
"3.09784532492683e-91","10","6.43255937415458","288.227919406705","-364.526394143149"
"3.79818892200469e-10","0.807336562895715","4.20008054828929","297.644214872197","-306.756820077548"
"7.14345553105192e-42","4.37056098027222","14.3969383966817","297.259458599388","-521.239960142576"
"6.26878898805293e-76","8.21549521126034","10.3005759782345","293.952933486227","-473.115859981063"
"5.67519945652691e-91","10","14.1033990501112","288.584564094708","-483.840774881238"
"1.61065983423637e-71","7.71009775199088","12.7694218348794","294.757035629735","-532.696806383702"
"6.36859039037178e-38","3.90947837386729","10.8150043028137","303.754888371897","-457.162650617518"
"1.51465156784534e-90","10","12.3715746211442","285.865227452653","-434.340272782544"
"1.41444966593771e-91","10","10.505768934238","290.868321318908","-493.176579182173"
"8.32943245698866e-51","5.39671895497025","11.814481149389","300.215224996005","-412.244984262544"
"9.37803194758312e-92","10","15.7166155075324","293.58407695262","-515.239245399797"
"2.69692153579743e-73","7.93622163762331","13.9227026226829","293.117086294473","-535.762527745284"
"6.11916358913122e-53","5.63748180829709","8.49438687357879","310.15","-298.324581440948"
"1.23735816730086e-91","10","13.9724124150844","292.47014436872","-548.873264761447"
"8.698842256369e-92","10","16.8960356989988","295.986434050003","-454.038077272585"
"1.99067426141906e-91","10","14.5564056018552","294.54637407911","-419.101957446192"
"3.52985512926715e-43","4.53609007047186","8.08273096159459","303.512964122703","-372.519916787536"
"1.16312549727772e-91","10","18.146486563958","294.173355767891","-464.314746702615"
"7.31823260451068e-37","3.79572373474789","13.0236390376622","298.093125500438","-490.387413461203"
"1.4424729194819e-91","10","9.84625622714743","290.604602875756","-493.848399096701"
"8.38316292593094e-51","5.36865152746211","14.892756560679","300.134633003893","-471.746936673565"
"6.10504890755914e-50","5.27526539838219","20","298.648098540458","-468.139065383022"
"7.17047960599786e-55","5.83992430419244","13.0195971432242","302.440780572133","-424.157568700958"
"2.07609286743116e-91","10","6.29107967132467","290.713082518065","-374.106530759966"
"1.64415486652544e-91","10","12.0762286583914","292.067368763432","-468.595686227687"
"1.1616432565616e-42","4.44618752237899","12.2168665288277","301.513846001847","-475.459052999607"
"8.2531656019882e-77","8.30565518383755","11.2319664714239","294.89397965729","-497.383950880506"
"8.85959801937159e-58","6.2509357038323","10.0645068042944","286.892692358551","-494.238315981924"
"6.65117014808119e-39","4.03067343445199","18.416083747652","310.15","-386.346553301275"
"2.23412863758188e-91","10","8.83456304833819","290.832633926148","-410.916341844228"
"8.02530834174298e-92","10","16.0987116058083","294.861601740258","-488.544161551027"
"2.02688731587229e-91","10","16.255101406622","293.420253872128","-393.443656131151"
"1.75072430457419e-91","10","12.302675587913","290.845176628111","-516.862480623891"
"1.17353807140399e-91","10","8.9061534702742","294.604585878277","-427.467490936183"
"1.41274602875323e-91","10","14.0464895987013","293.610183607808","-443.364221735425"
"8.34327942346081e-85","9.22698264735378","14.0441376709777","293.854530073248","-487.533396175796"
"6.54803384336052e-71","7.65157905374353","13.7523003380104","295.290902393121","-493.458170371115"
"1.77014575219004e-86","9.40258547055372","10.9910632681081","296.033452481173","-462.819608826624"
"1.62509781753276e-91","10","14.1017492152326","292.291200334905","-463.060880558924"
